,FIPS,state2,cdid116,inputstate,birthyr,cces.year,countyfips,dem,educ,educ.int,gender,hispanic,ideo5,newsint,partydefender,perceive_extreme,perceive_extreme_very,party,pid,pid3,pid7,polint,progressive,race,reformer,reformer_local,rep,RCO321,RCO321_a,RCO321_dk,RCO321_dm,RCO321_na,RCO321_np,RCO321_p,RCO321_pref,RCO322,RCO322_a,RCO322_dk,RCO322_dm,RCO322_na,RCO322_np,RCO322_p,RCO322_pref,RCO323,RCO323_a,RCO323_dk,RCO323_dm,RCO323_na,RCO323_np,RCO323_p,RCO323_pref,RCO324,RCO324_a,RCO324_dk,RCO324_dm,RCO324_na,RCO324_np,RCO324_p,RCO324_pref,RCO325,RCO325_a,RCO325_dk,RCO325_dm,RCO325_na,RCO325_np,RCO325_p,RCO325_pref,RCO326,RCO326_a,RCO326_dk,RCO326_dm,RCO326_na,RCO326_np,RCO326_p,RCO326_pref,RCO327,RCO327_a,RCO327_dk,RCO327_dm,RCO327_na,RCO327_np,RCO327_p,RCO327_pref,states_p_sb,states_p_sheriff,states_p_da,states_a_da,X2018_GovFlip,X2018_LegFlip,X2018_SenFlip,X2018_HouseFlip,X2018Pre_RepubGovControl,X2018Pre_DemTriControl,X2018Pre_RepTriControl,biden2020,trump2020,state,state_po,county,avg_d_voteshare2party,avg_r_voteshare2party,Pres_Vote
2,1001,AL,2,Alabama,1989,2020,1001,0,Post-grad,5,Male,No,Conservative,Most of the time,7,1,1,Rep,Republican,Republican,Strong Republican,4,0,White,0,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,35.1,63.9,Alabama,AL,Autauga,24.62253194,75.37746806,Solid Republican
4,1021,AL,6,Alabama,1994,2018,1021,0,Post-grad,5,Female,No,Liberal,Some of the time,4,0,0,Rep,Republican,Republican,Not very strong Republican,3,0,White,3,2,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,31.8,67,Alabama,AL,Chilton,16.17941307,83.82058693,Solid Republican
5,1055,AL,4,Alabama,1945,2020,1055,0,2-year,3,Female,No,Very conservative,Most of the time,7,0,0,Ind,Republican,Independent,Lean Republican,4,0,White,0,0,0,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,17.8,81.2,Alabama,AL,Etowah,24.40004673,75.59995327,Solid Republican
6,1055,AL,4,Alabama,1941,2020,1055,0,High school graduate,1,Male,No,Conservative,Only now and then,1,0,0,Ind,Republican,Independent,Lean Republican,2,0,White,6,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,17.8,81.2,Alabama,AL,Etowah,24.40004673,75.59995327,Solid Republican
7,1069,AL,2,Alabama,1959,2020,1069,0,No HS,1,Female,No,Moderate,Some of the time,0,1,1,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body,1,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,35.1,63.9,Alabama,AL,Houston,25.76343255,74.23656745,Solid Republican
8,1073,AL,6,Alabama,1992,2020,1073,1,Some college,2,Female,No,Liberal,Some of the time,4,1,0,Dem,Democrat,Democrat,Strong Democrat,3,0,White,0,0,0,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I don't think it matters,0,0,1,1,0,0,0,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,I don't think it matters,0,0,1,1,0,0,0,I don't think it matters,0,0,1,1,0,0,0,1,1,1,0,0,NA,NA,NA,1,NA,NA,31.8,67,Alabama,AL,Jefferson,53.78976207,46.21023793,Lean Democrat
9,1073,AL,6,Alabama,1985,2020,1073,0,2-year,3,Female,No,Moderate,Some of the time,0,0,0,NA,Democrat,Other,Lean Democrat,3,0,Black,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,31.8,67,Alabama,AL,Jefferson,53.78976207,46.21023793,Lean Democrat
10,1073,AL,6,Alabama,1978,2020,1073,0,Some college,2,Male,No,Liberal,Most of the time,0,0,0,NA,Democrat,Other,Lean Democrat,4,0,White,7,5,0,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,"They should be elected by the public, in a non-partisan contest",0,0,0,0,1,0,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,31.8,67,Alabama,AL,Jefferson,53.78976207,46.21023793,Lean Democrat
12,1073,AL,7,Alabama,1965,2018,1073,1,4-year,4,Female,No,Conservative,Only now and then,4,0,0,Dem,Democrat,Democrat,Strong Democrat,2,0,Black,0,0,0,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,They should be appointed by an elected official or other governing body.,1,0,0,0,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,70.8,28.5,Alabama,AL,Jefferson,53.78976207,46.21023793,Lean Democrat
13,1077,AL,5,Alabama,1987,2018,1077,0,Some college,2,Female,No,Moderate,Some of the time,7,1,0,Rep,Republican,Republican,Strong Republican,3,0,White,0,0,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,"They should be elected by the public, in a partisan contest",0,0,0,0,0,1,1,1,1,1,0,0,NA,NA,NA,1,NA,NA,35.7,62.7,Alabama,AL,Lauderdale,26.29256823,73.70743177,Solid Republican
