congressmember,chamber,state2,cdid116,politicalparty,biden2020,trump2020,clinton2016,trump2016
Don Young,rep,AK,1,Republican,43,53.1,37.6,52.8
Jerry L. Carl,rep,AL,1,Republican,35.3,63.7,34.1,63.5
Barry Moore,rep,AL,2,Republican,35.1,63.9,33,64.9
Mike Rogers,rep,AL,3,Republican,33.7,65.3,32.3,65.3
Robert B. Aderholt,rep,AL,4,Republican,17.8,81.2,17.4,80.4
Mo Brooks,rep,AL,5,Republican,35.7,62.7,31.3,64.7
Gary J. Palmer,rep,AL,6,Republican,31.8,67,26.1,70.8
Terri Sewell,rep,AL,7,Democrat,70.8,28.5,69.8,28.6
Eric A. Crawford,rep,AR,1,Republican,27.9,69.1,30.2,65
J. Hill,rep,AR,2,Republican,44.3,53.1,41.7,52.4
Steve Womack,rep,AR,3,Republican,35.2,61.9,30.5,61.9
Bruce Westerman,rep,AR,4,Republican,29.6,67.7,31.3,64.2
Tom O‚Halleran,rep,AZ,1,Democrat,50.1,48.4,46.6,47.7
Ann Kirkpatrick,rep,AZ,2,Democrat,54.5,43.9,49.6,44.7
Ra√∫l M. Grijalva,rep,AZ,3,Democrat,62.8,35.7,62.4,32.5
Paul A. Gosar,rep,AZ,4,Republican,30.6,68,27.5,67.7
Andy Biggs,rep,AZ,5,Republican,41.9,56.5,36.5,57.6
David Schweikert,rep,AZ,6,Republican,47.3,51.4,42.4,52.4
Ruben Gallego,rep,AZ,7,Democrat,73.7,24.7,71.8,22.6
Debbie Lesko,rep,AZ,8,Republican,41.4,57.3,37,58.1
Greg Stanton,rep,AZ,9,Democrat,60.8,37.3,54.7,38.4
Doug LaMalfa,rep,CA,1,Republican,41.1,56.4,36.5,56.2
Jared Huffman,rep,CA,2,Democrat,73.7,23.9,69,23.3
John Garamendi,rep,CA,3,Democrat,54.9,42.7,53,40.4
Tom McClintock,rep,CA,4,Republican,44,53.7,39.3,54
Mike Thompson,rep,CA,5,Democrat,72.5,25.3,69.2,24.3
Doris O. Matsui,rep,CA,6,Democrat,70.3,27.2,69.2,24.4
Ami Bera,rep,CA,7,Democrat,55.7,41.9,52.3,40.9
Jay Obernolte,rep,CA,8,Republican,43.6,54.1,39.6,54.7
Jerry McNerney,rep,CA,9,Democrat,57.9,39.9,56.6,38
Josh Harder,rep,CA,10,Democrat,50.3,47.4,48.5,45.5
Mark DeSaulnier,rep,CA,11,Democrat,74.3,23.6,71.5,22.7
Nancy Pelosi,rep,CA,12,Democrat,86.1,11.9,86.2,8.7
Barbara Lee,rep,CA,13,Democrat,88.9,9,87.4,6.8
Jackie Speier,rep,CA,14,Democrat,77.7,20.5,76.9,18.2
Eric Swalwell,rep,CA,15,Democrat,71.5,26.4,69.9,24.2
Jim Costa,rep,CA,16,Democrat,58.8,38.9,58,36.4
Ro Khanna,rep,CA,17,Democrat,72.5,25.6,73.9,20.5
Anna G. Eshoo,rep,CA,18,Democrat,76.4,21.3,73.4,20.2
Zoe Lofgren,rep,CA,19,Democrat,70,27.9,72.9,21.5
Jimmy Panetta,rep,CA,20,Democrat,72.7,25,70.4,23.2
David G. Valadao,rep,CA,21,Republican,54.4,43.5,55.2,39.7
Devin Nunes,rep,CA,22,Republican,46.2,51.7,42.6,52.1
Kevin McCarthy,rep,CA,23,Republican,40.5,57.1,36.1,58.1
Salud O. Carbajal,rep,CA,24,Democrat,60.7,36.9,56.7,36.5
Mike Garcia,rep,CA,25,Republican,54,43.9,50.3,43.6
Julia Brownley,rep,CA,26,Democrat,61.4,36.5,57.9,36
Judy Chu,rep,CA,27,Democrat,67.2,30.8,66,28.4
